id,Candidato,#Hashtags,PersonasMencionadas,Urls,#Palabras,#Retweets

1340451915835043847,Candidato Andrés Arauz,0,2,4,12,98

1340451202899849217,Candidato Andrés Arauz,0,2,4,12,0

1340448977372786689,Candidato Andrés Arauz,0,3,4,23,85

1340448798313734145,Candidato Andrés Arauz,0,4,4,23,85

1340448649847975937,Candidato Andrés Arauz,2,5,4,13,15

1340446233450729472,Candidato Andrés Arauz,4,6,4,23,52

1340443069125173253,Candidato Andrés Arauz,4,8,4,12,98

1340441936075866115,Candidato Andrés Arauz,4,10,4,12,98

1340441532000833540,Candidato Andrés Arauz,7,10,4,20,0

1340441528439894018,Candidato Andrés Arauz,9,11,4,23,52

1340440788417830912,Candidato Andrés Arauz,11,12,4,13,15

1340440446183600143,Candidato Andrés Arauz,11,14,4,12,98

1340440086723346432,Candidato Andrés Arauz,13,15,4,13,15

1340439635294625793,Candidato Andrés Arauz,15,16,4,13,15

1340439598334435328,Candidato Andrés Arauz,16,18,4,13,2

1340439113619689475,Candidato Andrés Arauz,16,20,4,12,98

1340436743108124672,Candidato Andrés Arauz,18,21,4,23,52

1340436621230043136,Candidato Andrés Arauz,18,22,4,21,5

1340435483806068736,Candidato Andrés Arauz,18,23,4,10,0

1340434801665388547,Candidato Andrés Arauz,19,24,4,20,25

1340429780324376578,Candidato Andrés Arauz,19,24,4,10,0

1340429715392393227,Candidato Andrés Arauz,20,25,4,20,1

1340429414060986369,Candidato Andrés Arauz,20,27,4,12,98

1340429328027439104,Candidato Andrés Arauz,20,28,4,21,5

1340429219634024448,Candidato Andrés Arauz,20,30,4,12,98

1340426849386676226,Candidato Andrés Arauz,20,30,4,9,0

1340424955436163072,Candidato Andrés Arauz,21,31,4,19,1

1340424701156483075,Candidato Andrés Arauz,22,31,4,17,1

1340424673440489472,Candidato Andrés Arauz,23,31,4,19,1

1340424092839796740,Candidato Andrés Arauz,23,32,4,23,85

1340422399670575112,Candidato Andrés Arauz,24,33,4,22,1

1340422217809707008,Candidato Andrés Arauz,26,34,4,23,52

1340421368962277377,Candidato Andrés Arauz,26,35,4,23,85

1340420832359804932,Candidato Andrés Arauz,26,35,4,9,0

1340418801872105474,Candidato Andrés Arauz,26,36,4,23,85

1340417626531610624,Candidato Andrés Arauz,26,38,4,12,98

